,Creation Time,Terminal Time,Current Time,Creation-Terminal Time,Terminal-Current Time,Creation-Current Time,Bid,Ask,BrokerName,Terminal,Protocol,Period,Symbol,Ask_Diff,Bid_Diff,UP,Spread,OpeningTime,ClosingTime,TypeBroker,DR
0,2020-11-23 13:15:01.643000,2020-11-23 13:15:01.643000,2020-11-23 13:15:08.193453,0.0,6550.453,6550.453,0.73303,0.73304,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,0.0,0,1e-05,179.1,,,
1,2020-11-23 13:15:01.807000,2020-11-23 13:15:01.807000,2020-11-23 13:15:08.227484,0.0,6420.484,6420.484,0.73302,0.73304,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,-9.99999999995449e-06,0,1e-05,179.1,,,
2,2020-11-23 13:15:03.311000,2020-11-23 13:15:03.311000,2020-11-23 13:15:08.277491,0.0,4966.491,4966.491,0.73303,0.73304,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,9.99999999995449e-06,0,1e-05,179.1,,,
3,2020-11-23 13:15:03.948000,2020-11-23 13:15:03.948000,2020-11-23 13:15:08.327480,0.0,4379.48,4379.48,0.73303,0.73303,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-1.0000000000065512e-05,0.0,0,1e-05,179.1,,,
4,2020-11-23 13:15:08.180000,2020-11-23 13:15:08.180000,2020-11-23 13:15:08.376479,0.0,196.479,196.479,0.73303,0.73304,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,1.0000000000065512e-05,0.0,0,1e-05,179.1,,,
5,2020-11-23 13:15:08.414000,2020-11-23 13:15:08.414000,2020-11-23 13:15:08.427482,0.0,13.482,13.482,0.73303,0.73303,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-1.0000000000065512e-05,0.0,0,1e-05,179.1,,,
6,2020-11-23 13:15:09.899000,2020-11-23 13:15:09.899000,2020-11-23 13:15:09.903452,0.0,4.452,4.452,0.73303,0.73304,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,1.0000000000065512e-05,0.0,0,1e-05,179.1,,,
7,2020-11-23 13:15:16.770000,2020-11-23 13:15:16.770000,2020-11-23 13:15:16.781566,0.0,11.566,11.566,0.73305,0.73305,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,9.99999999995449e-06,2.0000000000020002e-05,1,1e-05,179.1,,,
8,2020-11-23 13:15:16.796000,2020-11-23 13:15:16.796000,2020-11-23 13:15:16.831540,0.0,35.54,35.54,0.73304,0.73305,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,-9.99999999995449e-06,0,1e-05,179.1,,,
9,2020-11-23 13:15:16.826000,2020-11-23 13:15:16.826000,2020-11-23 13:15:16.882565,0.0,56.565,56.565,0.73303,0.73305,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,-1.0000000000065512e-05,0,1e-05,179.1,,,
10,2020-11-23 13:15:16.986000,2020-11-23 13:15:16.986000,2020-11-23 13:15:16.990566,0.0,4.566,4.566,0.73304,0.73305,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,1.0000000000065512e-05,0,1e-05,179.1,,,
11,2020-11-23 13:15:18.934000,2020-11-23 13:15:18.934000,2020-11-23 13:15:18.938540,0.0,4.54,4.54,0.73303,0.73305,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,-1.0000000000065512e-05,0,1e-05,179.1,,,
