,Creation Time,Terminal Time,Current Time,X,Y,Z,Bid,Ask,TypeBroker,BrokerName,DR,Terminal,Protocol,Symbol
32,2020-08-04 10:40:12.829000,2020-08-04 10:40:12.839000,2020-08-04 10:40:12.843209,10.0,4.209,14.209,1.17779,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
33,2020-08-04 10:40:12.938000,2020-08-04 10:40:12.948000,2020-08-04 10:40:12.952177,10.0,4.177,14.177,1.17779,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
34,2020-08-04 10:40:12.989000,2020-08-04 10:40:12.999000,2020-08-04 10:40:13.004203,10.0,5.203,15.203,1.1778,1.17794,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
35,2020-08-04 10:40:13.049000,2020-08-04 10:40:13.059000,2020-08-04 10:40:13.063203,10.0,4.203,14.203,1.1778,1.17794,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
36,2020-08-04 10:40:13.158000,2020-08-04 10:40:13.168000,2020-08-04 10:40:13.172203,10.0,4.203,14.203,1.1778,1.17794,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
37,2020-08-04 10:40:13.271000,2020-08-04 10:40:13.281000,2020-08-04 10:40:13.285204,10.0,4.204,14.204,1.1778,1.17794,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
38,2020-08-04 10:40:13.275000,2020-08-04 10:40:13.285000,2020-08-04 10:40:13.311180,10.0,26.18,36.18,1.17779,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
39,2020-08-04 10:40:13.379000,2020-08-04 10:40:13.389000,2020-08-04 10:40:13.393206,10.0,4.206,14.206,1.17779,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
40,2020-08-04 10:40:13.410000,2020-08-04 10:40:13.420000,2020-08-04 10:40:13.424203,10.0,4.203,14.203,1.17776,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
41,2020-08-04 10:40:13.490000,2020-08-04 10:40:13.500000,2020-08-04 10:40:13.504203,10.0,4.203,14.203,1.17776,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
42,2020-08-04 10:40:13.600000,2020-08-04 10:40:13.610000,2020-08-04 10:40:13.614178,10.0,4.178,14.178,1.17776,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
43,2020-08-04 10:40:13.677000,2020-08-04 10:40:13.687000,2020-08-04 10:40:13.691177,10.0,4.177,14.177,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
44,2020-08-04 10:40:13.708000,2020-08-04 10:40:13.718000,2020-08-04 10:40:13.722178,10.0,4.178,14.178,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
45,2020-08-04 10:40:13.813000,2020-08-04 10:40:13.823000,2020-08-04 10:40:13.827708,10.0,4.708,14.708,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
46,2020-08-04 10:40:13.925000,2020-08-04 10:40:13.935000,2020-08-04 10:40:13.942688,10.0,7.688,17.688,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
