,Creation Time,Terminal Time,Current Time,Creation-Terminal Time,Terminal-Current Time,Creation-Current Time,Bid,Ask,TypeBroker,BrokerName,DR,Terminal,Protocol,Period,Symbol,Ask_Diff,Bid_Diff,UP,Spread,OpeningTime,ClosingTime
0,2021-03-11 08:20:34.540000,2021-03-11 08:20:34.540000,2021-03-11 08:20:37.930624,0.0,3390.624,3390.624,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
1,2021-03-11 08:20:34.649000,2021-03-11 08:20:34.649000,2021-03-11 08:20:37.961840,0.0,3312.84,3312.84,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
2,2021-03-11 08:20:34.758000,2021-03-11 08:20:34.758000,2021-03-11 08:20:38.008720,0.0,3250.72,3250.72,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
3,2021-03-11 08:20:34.868000,2021-03-11 08:20:34.868000,2021-03-11 08:20:38.039970,0.0,3171.97,3171.97,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
4,2021-03-11 08:20:34.977000,2021-03-11 08:20:34.977000,2021-03-11 08:20:38.086819,0.0,3109.819,3109.819,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
5,2021-03-11 08:20:35.086000,2021-03-11 08:20:35.086000,2021-03-11 08:20:38.118095,0.0,3032.095,3032.095,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
6,2021-03-11 08:20:35.196000,2021-03-11 08:20:35.196000,2021-03-11 08:20:38.164946,0.0,2968.946,2968.946,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
7,2021-03-11 08:20:35.305000,2021-03-11 08:20:35.305000,2021-03-11 08:20:38.196195,0.0,2891.195,2891.195,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
8,2021-03-11 08:20:35.414000,2021-03-11 08:20:35.414000,2021-03-11 08:20:38.243094,0.0,2829.094,2829.094,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
9,2021-03-11 08:20:35.524000,2021-03-11 08:20:35.524000,2021-03-11 08:20:38.289972,0.0,2765.972,2765.972,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
