Time,O,H,L,C,V
26/09/2019 15:00:00,1.09421,1.09461,1.09317,1.09378,5562
26/09/2019 16:00:00,1.0938,1.09387,1.0922,1.09255,4472
26/09/2019 17:00:00,1.09256,1.09336,1.09242,1.09264,3083
26/09/2019 18:00:00,1.09266,1.09302,1.09233,1.0928,2824
26/09/2019 19:00:00,1.09279,1.09291,1.0909,1.09176,3900
26/09/2019 20:00:00,1.09177,1.09225,1.09176,1.09198,1160
26/09/2019 21:00:00,1.09189,1.09202,1.09154,1.09172,507
26/09/2019 22:00:00,1.0917,1.09206,1.09168,1.09202,1091
26/09/2019 23:00:00,1.09205,1.09232,1.09182,1.09223,1056
27/09/2019 00:00:00,1.09225,1.09231,1.09046,1.09163,3165
27/09/2019 01:00:00,1.09163,1.09175,1.09117,1.09165,2758
27/09/2019 02:00:00,1.09164,1.09208,1.09145,1.09197,1807
27/09/2019 03:00:00,1.09195,1.09256,1.0919,1.09246,1488
27/09/2019 04:00:00,1.09244,1.09252,1.09213,1.09216,1566
27/09/2019 05:00:00,1.09217,1.09238,1.09189,1.09195,2000
27/09/2019 06:00:00,1.09196,1.09198,1.09068,1.09164,4599
27/09/2019 07:00:00,1.09165,1.09228,1.09077,1.09179,5616
27/09/2019 08:00:00,1.09178,1.09287,1.09166,1.09237,3898
27/09/2019 09:00:00,1.09235,1.09284,1.09206,1.0927,3739
27/09/2019 10:00:00,1.09269,1.09392,1.092,1.0939,4453
27/09/2019 11:00:00,1.09388,1.09398,1.09328,1.09353,3354
27/09/2019 12:00:00,1.09352,1.09486,1.09316,1.09373,5185
27/09/2019 13:00:00,1.09372,1.09398,1.09266,1.09348,5063
27/09/2019 14:00:00,1.09349,1.09493,1.09318,1.09481,5040
27/09/2019 15:00:00,1.0948,1.09587,1.09395,1.09412,7339
27/09/2019 16:00:00,1.09416,1.09478,1.09359,1.09441,5688
27/09/2019 17:00:00,1.09442,1.09477,1.09413,1.09413,3146
27/09/2019 18:00:00,1.09413,1.09428,1.0938,1.094,2743
27/09/2019 19:00:00,1.09402,1.09437,1.09389,1.09414,2002
27/09/2019 20:00:00,1.09415,1.0944,1.09399,1.09412,1242
29/09/2019 21:00:00,1.09407,1.09425,1.09398,1.09411,376
29/09/2019 22:00:00,1.0941,1.09463,1.09401,1.09447,945
29/09/2019 23:00:00,1.09448,1.09448,1.09419,1.09424,1141
30/09/2019 00:00:00,1.09422,1.09424,1.09356,1.09368,2148
