,Ask,Bid,BrokerName,Creation Time,Current Time,DR,Protocol,Symbol,Terminal,Terminal Time,TypeBroker,X,Y,Z
25,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:31.309000,2019-12-03 17:04:32.560014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:31.309000,MM,0.0,1251.014,1251.014
26,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:31.417000,2019-12-03 17:04:32.583014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:31.417000,MM,0.0,1166.014,1166.014
27,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:31.526000,2019-12-03 17:04:32.606013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:31.526000,MM,0.0,1080.013,1080.013
28,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:31.639000,2019-12-03 17:04:32.630013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:31.639000,MM,0.0,991.013,991.013
29,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:31.747000,2019-12-03 17:04:32.654046,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:31.747000,MM,0.0,907.046,907.046
30,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:31.855000,2019-12-03 17:04:32.678014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:31.855000,MM,0.0,823.014,823.014
31,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:31.966000,2019-12-03 17:04:32.701039,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:31.966000,MM,0.0,735.039,735.039
32,1.10924,1.10908,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:32.078000,2019-12-03 17:04:32.725039,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:32.078000,MM,0.0,647.039,647.039
33,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:32.173000,2019-12-03 17:04:32.749038,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:32.173000,MM,0.0,576.038,576.038
34,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:32.188000,2019-12-03 17:04:32.772039,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:32.188000,MM,0.0,584.039,584.039
35,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:32.292000,2019-12-03 17:04:32.795014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:32.292000,MM,0.0,503.014,503.014
36,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:32.400000,2019-12-03 17:04:32.818014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:32.400000,MM,0.0,418.014,418.014
