,Creation Time,Terminal Time,Current Time,X,Y,Z,Bid,Ask,TypeBroker,BrokerName,DR,Terminal,Protocol,Symbol
0,2020-04-17 15:25:58.989000,2020-04-17 15:25:59.254000,2020-04-17 15:26:02.664147,265.0,3410.147,3675.147,1.08741,1.08746,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
1,2020-04-17 15:25:59.083000,2020-04-17 15:25:59.348000,2020-04-17 15:26:02.689138,265.0,3341.138,3606.138,1.08741,1.08746,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
2,2020-04-17 15:25:59.183000,2020-04-17 15:25:59.448000,2020-04-17 15:26:02.715138,265.0,3267.138,3532.138,1.08741,1.08746,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
3,2020-04-17 15:25:59.288000,2020-04-17 15:25:59.553000,2020-04-17 15:26:02.739143,265.0,3186.143,3451.143,1.08741,1.08746,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
4,2020-04-17 15:25:59.390000,2020-04-17 15:25:59.655000,2020-04-17 15:26:02.763144,265.0,3108.144,3373.144,1.08741,1.08746,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
5,2020-04-17 15:25:59.446000,2020-04-17 15:25:59.711000,2020-04-17 15:26:02.787143,265.0,3076.143,3341.143,1.08738,1.08746,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
6,2020-04-17 15:25:59.488000,2020-04-17 15:25:59.753000,2020-04-17 15:26:02.811138,265.0,3058.138,3323.138,1.08738,1.08746,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
7,2020-04-17 15:25:59.583000,2020-04-17 15:25:59.848000,2020-04-17 15:26:02.837143,265.0,2989.143,3254.143,1.08738,1.08746,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
8,2020-04-17 15:25:59.639000,2020-04-17 15:25:59.904000,2020-04-17 15:26:02.862143,265.0,2958.143,3223.143,1.08739,1.08746,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
9,2020-04-17 15:25:59.684000,2020-04-17 15:25:59.949000,2020-04-17 15:26:02.886145,265.0,2937.145,3202.145,1.08739,1.08746,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
10,2020-04-17 15:25:59.685000,2020-04-17 15:25:59.950000,2020-04-17 15:26:02.911144,265.0,2961.144,3226.144,1.08739,1.08744,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
11,2020-04-17 15:25:59.745000,2020-04-17 15:26:00.010000,2020-04-17 15:26:02.939114,265.0,2929.114,3194.114,1.0874,1.08744,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
12,2020-04-17 15:25:59.789000,2020-04-17 15:26:00.054000,2020-04-17 15:26:02.964113,265.0,2910.113,3175.113,1.0874,1.08744,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
13,2020-04-17 15:25:59.815000,2020-04-17 15:26:00.080000,2020-04-17 15:26:02.990113,265.0,2910.113,3175.113,1.08739,1.08744,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
14,2020-04-17 15:25:59.889000,2020-04-17 15:26:00.154000,2020-04-17 15:26:03.015112,265.0,2861.112,3126.112,1.08739,1.08744,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
15,2020-04-17 15:25:59.970000,2020-04-17 15:26:00.235000,2020-04-17 15:26:03.040619,265.0,2805.619,3070.619,1.08739,1.08745,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
16,2020-04-17 15:25:59.972000,2020-04-17 15:26:00.237000,2020-04-17 15:26:03.065648,265.0,2828.648,3093.648,1.0874,1.08745,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
17,2020-04-17 15:25:59.982000,2020-04-17 15:26:00.247000,2020-04-17 15:26:03.089651,265.0,2842.651,3107.651,1.0874,1.08745,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
18,2020-04-17 15:26:00.077000,2020-04-17 15:26:00.342000,2020-04-17 15:26:03.114646,265.0,2772.646,3037.646,1.0874,1.08745,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
19,2020-04-17 15:26:00.185000,2020-04-17 15:26:00.450000,2020-04-17 15:26:03.139646,265.0,2689.646,2954.646,1.0874,1.08745,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
20,2020-04-17 15:26:00.200000,2020-04-17 15:26:00.465000,2020-04-17 15:26:03.164645,265.0,2699.645,2964.645,1.0874,1.08743,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
21,2020-04-17 15:26:00.289000,2020-04-17 15:26:00.554000,2020-04-17 15:26:03.189646,265.0,2635.646,2900.646,1.0874,1.08743,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
22,2020-04-17 15:26:00.295000,2020-04-17 15:26:00.560000,2020-04-17 15:26:03.213646,265.0,2653.646,2918.646,1.0874,1.08745,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
23,2020-04-17 15:26:00.386000,2020-04-17 15:26:00.651000,2020-04-17 15:26:03.240647,265.0,2589.647,2854.647,1.0874,1.08745,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
24,2020-04-17 15:26:00.485000,2020-04-17 15:26:00.750000,2020-04-17 15:26:03.271621,265.0,2521.621,2786.621,1.0874,1.08745,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
25,2020-04-17 15:26:00.580000,2020-04-17 15:26:00.845000,2020-04-17 15:26:03.301621,265.0,2456.621,2721.621,1.0874,1.08745,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
26,2020-04-17 15:26:00.688000,2020-04-17 15:26:00.953000,2020-04-17 15:26:03.328621,265.0,2375.621,2640.621,1.0874,1.08745,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
27,2020-04-17 15:26:00.779000,2020-04-17 15:26:01.044000,2020-04-17 15:26:03.353621,265.0,2309.621,2574.621,1.0874,1.08745,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
28,2020-04-17 15:26:00.890000,2020-04-17 15:26:01.155000,2020-04-17 15:26:03.379621,265.0,2224.621,2489.621,1.0874,1.08745,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
29,2020-04-17 15:26:00.960000,2020-04-17 15:26:01.225000,2020-04-17 15:26:03.405621,265.0,2180.621,2445.621,1.08741,1.08746,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
30,2020-04-17 15:26:00.986000,2020-04-17 15:26:01.251000,2020-04-17 15:26:03.430619,265.0,2179.619,2444.619,1.08741,1.08746,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
31,2020-04-17 15:26:01.035000,2020-04-17 15:26:01.300000,2020-04-17 15:26:03.455620,265.0,2155.62,2420.62,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
32,2020-04-17 15:26:01.082000,2020-04-17 15:26:01.347000,2020-04-17 15:26:03.480646,265.0,2133.646,2398.646,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
33,2020-04-17 15:26:01.189000,2020-04-17 15:26:01.454000,2020-04-17 15:26:03.506621,265.0,2052.621,2317.621,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
34,2020-04-17 15:26:01.281000,2020-04-17 15:26:01.546000,2020-04-17 15:26:03.533621,265.0,1987.621,2252.621,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
35,2020-04-17 15:26:01.388000,2020-04-17 15:26:01.653000,2020-04-17 15:26:03.558621,265.0,1905.621,2170.621,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
36,2020-04-17 15:26:01.487000,2020-04-17 15:26:01.752000,2020-04-17 15:26:03.584621,265.0,1832.621,2097.621,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
37,2020-04-17 15:26:01.582000,2020-04-17 15:26:01.847000,2020-04-17 15:26:03.609621,265.0,1762.621,2027.621,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
38,2020-04-17 15:26:01.689000,2020-04-17 15:26:01.954000,2020-04-17 15:26:03.634620,265.0,1680.62,1945.62,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
39,2020-04-17 15:26:01.780000,2020-04-17 15:26:02.045000,2020-04-17 15:26:03.660619,265.0,1615.619,1880.619,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
40,2020-04-17 15:26:01.886000,2020-04-17 15:26:02.151000,2020-04-17 15:26:03.685646,265.0,1534.646,1799.646,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
41,2020-04-17 15:26:01.985000,2020-04-17 15:26:02.250000,2020-04-17 15:26:03.709651,265.0,1459.651,1724.651,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
42,2020-04-17 15:26:02.079000,2020-04-17 15:26:02.344000,2020-04-17 15:26:03.734621,265.0,1390.621,1655.621,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
43,2020-04-17 15:26:02.187000,2020-04-17 15:26:02.452000,2020-04-17 15:26:03.760620,265.0,1308.62,1573.62,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
44,2020-04-17 15:26:02.279000,2020-04-17 15:26:02.544000,2020-04-17 15:26:03.784645,265.0,1240.645,1505.645,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
45,2020-04-17 15:26:02.390000,2020-04-17 15:26:02.655000,2020-04-17 15:26:03.809651,265.0,1154.651,1419.651,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
46,2020-04-17 15:26:02.489000,2020-04-17 15:26:02.754000,2020-04-17 15:26:03.834645,265.0,1080.645,1345.645,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
47,2020-04-17 15:26:02.583000,2020-04-17 15:26:02.848000,2020-04-17 15:26:03.859650,265.0,1011.65,1276.65,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
48,2020-04-17 15:26:02.684000,2020-04-17 15:26:02.949000,2020-04-17 15:26:03.884645,265.0,935.645,1200.645,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
49,2020-04-17 15:26:02.788000,2020-04-17 15:26:03.053000,2020-04-17 15:26:03.908646,265.0,855.646,1120.646,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
50,2020-04-17 15:26:02.890000,2020-04-17 15:26:03.155000,2020-04-17 15:26:03.933651,265.0,778.651,1043.651,1.08741,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
51,2020-04-17 15:26:02.927000,2020-04-17 15:26:03.192000,2020-04-17 15:26:03.958651,265.0,766.651,1031.651,1.08744,1.08748,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
52,2020-04-17 15:26:02.985000,2020-04-17 15:26:03.250000,2020-04-17 15:26:03.983648,265.0,733.648,998.648,1.08744,1.08748,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
53,2020-04-17 15:26:03.080000,2020-04-17 15:26:03.345000,2020-04-17 15:26:04.008654,265.0,663.654,928.654,1.08744,1.08748,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
54,2020-04-17 15:26:03.101000,2020-04-17 15:26:03.366000,2020-04-17 15:26:04.033650,265.0,667.65,932.65,1.08744,1.08749,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
55,2020-04-17 15:26:03.187000,2020-04-17 15:26:03.452000,2020-04-17 15:26:04.058650,265.0,606.65,871.65,1.08744,1.08749,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
56,2020-04-17 15:26:03.278000,2020-04-17 15:26:03.543000,2020-04-17 15:26:04.083650,265.0,540.65,805.65,1.08744,1.08749,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
57,2020-04-17 15:26:03.382000,2020-04-17 15:26:03.647000,2020-04-17 15:26:04.107650,265.0,460.65,725.65,1.08744,1.08748,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
58,2020-04-17 15:26:03.386000,2020-04-17 15:26:03.651000,2020-04-17 15:26:04.131650,265.0,480.65,745.65,1.08744,1.08748,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
59,2020-04-17 15:26:03.440000,2020-04-17 15:26:03.705000,2020-04-17 15:26:04.155652,265.0,450.652,715.652,1.08742,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
60,2020-04-17 15:26:03.481000,2020-04-17 15:26:03.746000,2020-04-17 15:26:04.180653,265.0,434.653,699.653,1.08742,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
61,2020-04-17 15:26:03.576000,2020-04-17 15:26:03.841000,2020-04-17 15:26:04.204621,265.0,363.621,628.621,1.08742,1.08747,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
62,2020-04-17 15:26:03.590000,2020-04-17 15:26:03.855000,2020-04-17 15:26:04.229650,265.0,374.65,639.65,1.08742,1.08746,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
63,2020-04-17 15:26:03.643000,2020-04-17 15:26:03.908000,2020-04-17 15:26:04.254622,265.0,346.622,611.622,1.08743,1.08748,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
64,2020-04-17 15:26:03.689000,2020-04-17 15:26:03.954000,2020-04-17 15:26:04.278651,265.0,324.651,589.651,1.08743,1.08748,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
65,2020-04-17 15:26:03.701000,2020-04-17 15:26:03.966000,2020-04-17 15:26:04.302651,265.0,336.651,601.651,1.08744,1.08749,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
66,2020-04-17 15:26:03.781000,2020-04-17 15:26:04.046000,2020-04-17 15:26:04.326650,265.0,280.65,545.65,1.08744,1.0875,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
67,2020-04-17 15:26:03.781000,2020-04-17 15:26:04.046000,2020-04-17 15:26:04.351650,265.0,305.65,570.65,1.08744,1.0875,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
68,2020-04-17 15:26:03.795000,2020-04-17 15:26:04.060000,2020-04-17 15:26:04.375652,265.0,315.652,580.652,1.08744,1.08749,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,EURUSD
